identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/InvoicingEntity,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/availabilityZone,product/capacitystatus,product/classicnetworkingsupport,product/clockSpeed,product/countsAgainstQuota,product/currentGeneration,product/dataTransferQuota,product/databaseEngine,product/deploymentOption,product/durability,product/ecu,product/engineCode,product/enhancedNetworkingSupported,product/freeOverage,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/licenseModel,product/location,product/locationType,product/logsDestination,product/marketoption,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/overageType,product/physicalProcessor,product/platousagetype,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/region,product/regionCode,product/servicecode,product/servicename,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/toRegionCode,product/transferType,product/usagetype,product/vcpu,product/version,product/volumeApiName,product/volumeType,product/vpcnetworkingsupport,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod
3czocgkkmwfcgzh3wdljkherfyxnnery6oywe5frqbtw3hfw633q,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AWSDataTransfer,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer,Canada Tax,"Amazon Web Services Canada, Inc.",AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xvjhuqiyxqe3vfgnb2l57vv2ylb4aattuicavuchq5yiyaocjntq,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,awskms,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code awskms,Canada Tax,"Amazon Web Services Canada, Inc.",AWS Key Management Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jadabezlq4n3wg2ozb5w4infje4e2rfnq42yivyv5k6loh66cqaa,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,awswaf,,,,,1.0000000000,,,USD,,0.4800000000,,0.4800000000,Tax for product code awswaf,Canada Tax,"Amazon Web Services Canada, Inc.",AWS WAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa64hso7w7o6v6c2wt2lardpy67l7klrdun27h5rlvtenipelibq,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AmazonEC2,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2,Canada Tax,"Amazon Web Services Canada, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zq45z4nsxcnf5ta5ze5xy6uxosiy67dd6y4atzw2rup64zsaovfa,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AmazonLightsail,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonLightsail,Canada Tax,"Amazon Web Services Canada, Inc.",Amazon Lightsail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6r35n7s6fplnnzytqgj6i7ev2t6e56wvji3pm6p5jcgbzxqgl45q,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AmazonRDS,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonRDS,Canada Tax,"Amazon Web Services Canada, Inc.",Amazon Relational Database Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wijk3soewcxmj5ctjuaxybcfdihip5dherikito6py6nl47albfq,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AmazonSNS,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonSNS,Canada Tax,"Amazon Web Services Canada, Inc.",Amazon Simple Notification Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5uimcge2ul2onzay32gg3efaumlybuicqqcphz54dyj44oi4v4ra,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AmazonS3,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonS3,Canada Tax,"Amazon Web Services Canada, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimv7m7bzf4uqyvagqt57lg7hgxyulik27gpununwd3566mupjoa,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AmazonCloudWatch,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonCloudWatch,Canada Tax,"Amazon Web Services Canada, Inc.",AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3psendcuusdes7qnzmcsaxd2xt6ga7vzmuxedeu6m4k2vqcimi6q,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Tax,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,AWSELB,,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSELB,Canada Tax,"Amazon Web Services Canada, Inc.",Elastic Load Balancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd2cbayawgxqnvp74aq2kqid57a56sg7xbaqe7j54tuqaazcwdwa,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Usage,2022-02-02T07:00:00Z,2022-02-02T08:00:00Z,AmazonEC2,USE2-SAE1-AWS-Out-Bytes,PublicIP-Out,,i-09b9f607ac53f8fdc,0.0000000373,,,USD,0.0200000000,0.0000000007,0.0200000000,0.0000000007,$0.02 per GB - US East (Ohio) data transfer to South America (Sao Paulo),,"Amazon Web Services Canada, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,US East (Ohio),AWS Region,us-east-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,us-east-2,,AWSDataTransfer,AWS Data Transfer,25KK9VY72V4RDJBD,,,,,South America (Sao Paulo),AWS Region,sa-east-1,InterRegion Outbound,USE2-SAE1-AWS-Out-Bytes,,,,,,25KK9VY72V4RDJBD.JRTCKXETXF.6YS6EN2CT7,5713127794,USD,0.0000000007,0.0200000000,OnDemand,GB,,,,,,,,,,7572258452,,,,,,,,,,,,,,,
d6rzjpifsfpkw22wn3hzvj776lo5klr65lwe3q7lb32cjyw2pvpa,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Usage,2022-02-06T10:00:00Z,2022-02-06T11:00:00Z,AmazonEC2,USE2-SAE1-AWS-Out-Bytes,PublicIP-Out,,i-0cfacb22462d8aa72,0.0000000698,,,USD,0.0200000000,0.0000000014,0.0200000000,0.0000000014,$0.02 per GB - US East (Ohio) data transfer to South America (Sao Paulo),,"Amazon Web Services Canada, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,US East (Ohio),AWS Region,us-east-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,us-east-2,,AWSDataTransfer,AWS Data Transfer,25KK9VY72V4RDJBD,,,,,South America (Sao Paulo),AWS Region,sa-east-1,InterRegion Outbound,USE2-SAE1-AWS-Out-Bytes,,,,,,25KK9VY72V4RDJBD.JRTCKXETXF.6YS6EN2CT7,5713127794,USD,0.0000000014,0.0200000000,OnDemand,GB,,,,,,,,,,7572258452,,,,,,,,,,,,,,,
6g47onvyatqoejf2725lhvdh2ange2mzjwc5moggfndt3bvttega,2022-02-01T00:00:00Z/2022-03-01T00:00:00Z,,"Amazon Web Services Canada, Inc.",AWS,Anniversary,623668833879,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,623668833879,Usage,2022-02-01T12:00:00Z,2022-02-01T13:00:00Z,AWSELB,USE2-SAE1-AWS-Out-Bytes,LoadBalancing-PublicIP-Out,,arn:aws:elasticloadbalancing:us-east-2:623668833879:loadbalancer/app/edloadbalancer1/a716f415912e9b6a,0.0000000373,,,USD,0.0200000000,0.0000000007,0.0200000000,0.0000000007,$0.02 per GB - US East (Ohio) data transfer to South America (Sao Paulo),,"Amazon Web Services Canada, Inc.",Elastic Load Balancing,,,,,,,,,,,,,,,,US East (Ohio),AWS Region,us-east-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,us-east-2,,AWSDataTransfer,AWS Data Transfer,25KK9VY72V4RDJBD,,,,,South America (Sao Paulo),AWS Region,sa-east-1,InterRegion Outbound,USE2-SAE1-AWS-Out-Bytes,,,,,,25KK9VY72V4RDJBD.JRTCKXETXF.6YS6EN2CT7,5713127794,USD,0.0000000007,0.0200000000,OnDemand,GB,,,,,,,,,,7572258452,,,,,,,,,,,,,,,
